timestamp,alert_id,event_category,event_name,severity,src_ip,dst_ip,dst_port,username,hostname,action,bytes_transferred,false_positive,analyst_note
2025-10-15T00:02:30,,System,Process Started,INFO,192.168.1.52,192.168.1.27,443,nancy.w,WS-133,ALLOWED,23809,,
2025-10-15T00:02:47,,System,Process Started,INFO,192.168.1.13,192.168.1.22,443,nancy.w,WS-126,ALLOWED,32414,,
2025-10-15T00:05:24,,Network,HTTPS Request,INFO,192.168.1.59,192.168.1.12,443,raj.m,WS-104,ALLOWED,35124,,
2025-10-15T00:10:11,,Network,HTTP Request,INFO,192.168.1.12,192.168.1.27,80,priya.k,WS-120,ALLOWED,49700,,
2025-10-15T00:11:19,ALT-1071,Authentication,Failed Login,WARNING,192.168.1.45,192.168.1.15,3389,david.lee,WS-148,ALLOWED,18924,No,
2025-10-15T00:14:26,ALT-1090,Firewall,Connection Blocked,WARNING,192.168.1.44,192.168.1.27,445,david.lee,WS-134,BLOCKED,18888,No,
2025-10-15T00:19:26,,System,File Access,INFO,192.168.1.40,192.168.1.14,443,asha.s,WS-116,ALLOWED,39968,,
2025-10-15T00:37:26,,Authentication,Successful Login,INFO,192.168.1.42,10.0.0.254,80,asha.s,WS-106,ALLOWED,34466,,
2025-10-15T00:43:32,ALT-1125,Authentication,After-Hours Login,WARNING,192.168.1.43,10.0.0.1,445,nancy.w,WS-108,ALLOWED,22431,Yes,Known svc account activity
2025-10-15T00:44:31,ALT-1008,Firewall,Connection Blocked,WARNING,192.168.1.49,192.168.1.14,8080,priya.k,WS-113,BLOCKED,30576,Yes,Known svc account activity
2025-10-15T00:49:20,ALT-1102,Authentication,Failed Login,WARNING,192.168.1.31,10.0.0.1,8080,arogers,WS-111,ALLOWED,36269,Yes,Known svc account activity
2025-10-15T00:50:37,,Network,HTTPS Request,INFO,192.168.1.15,192.168.1.22,443,root,WS-137,ALLOWED,23227,,
2025-10-15T01:06:58,,System,File Access,INFO,192.168.1.15,192.168.1.26,3389,priya.k,WS-121,ALLOWED,10415,,
2025-10-15T01:08:58,,Network,DNS Query,INFO,192.168.1.46,10.0.0.254,53,arogers,WS-120,ALLOWED,27545,,
2025-10-15T01:10:44,ALT-1056,Network,C2 Communication Attempt,CRITICAL,185.220.101.47,192.168.1.17,8080,svc_backup,EXT-HOST,BLOCKED,5138,No,Requires investigation
2025-10-15T01:20:09,ALT-1018,Authentication,Privilege Escalation,HIGH,192.168.1.39,192.168.1.12,53,jsmith,WS-125,ALLOWED,33824,No,Requires investigation
2025-10-15T01:21:28,,Network,HTTP Request,INFO,192.168.1.21,192.168.1.23,80,bkumar,WS-131,ALLOWED,12310,,
2025-10-15T01:21:50,ALT-1137,Network,Port Scan Detected,HIGH,185.220.101.47,192.168.1.14,823,david.lee,EXT-HOST,ALLOWED,26038,No,Requires investigation
2025-10-15T01:25:30,,Authentication,Successful Login,INFO,192.168.1.25,10.0.0.254,22,nancy.w,WS-123,ALLOWED,18639,,
2025-10-15T01:26:10,,Authentication,Successful Login,INFO,192.168.1.28,192.168.1.21,8080,asha.s,WS-107,ALLOWED,6325,,
2025-10-15T01:27:00,,Firewall,Connection Allowed,INFO,192.168.1.13,192.168.1.22,3389,root,WS-144,ALLOWED,26463,,
2025-10-15T01:27:04,ALT-1015,Authentication,Failed Login,WARNING,192.168.1.37,192.168.1.20,80,testuser,WS-143,ALLOWED,37796,Yes,Known svc account activity
2025-10-15T01:29:36,,Network,HTTPS Request,INFO,192.168.1.38,192.168.1.28,443,asha.s,WS-130,ALLOWED,32957,,
2025-10-15T01:33:16,,Network,HTTP Request,INFO,192.168.1.39,192.168.1.11,80,bkumar,WS-146,ALLOWED,25986,,
2025-10-15T01:39:18,ALT-1060,Authentication,Brute Force Attempt,HIGH,194.165.16.11,10.0.0.1,22,testuser,EXT-HOST,ALLOWED,41201,No,Requires investigation
2025-10-15T01:40:14,ALT-1154,Network,Tor Exit Node Traffic,HIGH,45.33.32.156,192.168.1.12,9001,asha.s,EXT-HOST,ALLOWED,23530,No,Requires investigation
2025-10-15T01:40:21,ALT-1107,Malware,Suspicious Process,CRITICAL,192.168.1.16,10.0.0.1,53,nancy.w,WS-110,BLOCKED,29020,No,Requires investigation
2025-10-15T01:40:25,ALT-1156,Firewall,Connection Blocked,WARNING,192.168.1.14,192.168.1.18,8080,asha.s,WS-133,BLOCKED,48834,No,
2025-10-15T01:41:34,,Authentication,Successful Login,INFO,192.168.1.50,10.0.0.2,3389,testuser,WS-142,ALLOWED,38721,,
2025-10-15T01:44:18,,Network,DNS Query,INFO,192.168.1.25,192.168.1.23,53,asha.s,WS-107,ALLOWED,32856,,
2025-10-15T01:45:22,,Network,DNS Query,INFO,192.168.1.54,192.168.1.13,53,david.lee,WS-135,ALLOWED,16663,,
2025-10-15T01:46:17,ALT-1064,Authentication,Failed Login,WARNING,192.168.1.13,192.168.1.19,22,nancy.w,WS-106,ALLOWED,28341,No,
2025-10-15T01:53:46,ALT-1007,Firewall,Connection Blocked,WARNING,192.168.1.32,192.168.1.17,53,asha.s,WS-115,BLOCKED,13165,Yes,Known svc account activity
2025-10-15T01:55:03,,Network,HTTPS Request,INFO,192.168.1.21,192.168.1.17,443,root,WS-129,ALLOWED,18601,,
2025-10-15T02:02:08,,Authentication,Successful Login,INFO,192.168.1.58,192.168.1.17,53,testuser,WS-111,ALLOWED,11640,,
2025-10-15T02:02:35,ALT-1092,Network,Tor Exit Node Traffic,HIGH,45.33.32.156,192.168.1.12,9001,arogers,EXT-HOST,ALLOWED,21810,No,Requires investigation
2025-10-15T02:02:42,,System,File Access,INFO,192.168.1.32,192.168.1.26,3389,arogers,WS-102,ALLOWED,3828,,
2025-10-15T02:03:18,,System,File Access,INFO,192.168.1.18,192.168.1.26,445,admin,WS-138,ALLOWED,44175,,
2025-10-15T02:08:18,,Network,HTTPS Request,INFO,192.168.1.43,192.168.1.11,443,arogers,WS-100,ALLOWED,27126,,
2025-10-15T02:10:16,,Network,HTTP Request,INFO,192.168.1.20,192.168.1.19,80,testuser,WS-107,ALLOWED,30816,,
2025-10-15T02:13:09,,System,Process Started,INFO,192.168.1.45,192.168.1.28,445,raj.m,WS-131,ALLOWED,3172,,
2025-10-15T02:16:03,,System,Process Started,INFO,192.168.1.55,192.168.1.14,8080,root,WS-130,ALLOWED,34537,,
2025-10-15T02:16:40,,Firewall,Connection Allowed,INFO,192.168.1.46,192.168.1.13,22,root,WS-112,ALLOWED,30086,,
2025-10-15T02:20:50,,System,Process Started,INFO,192.168.1.22,10.0.0.1,53,nancy.w,WS-121,ALLOWED,8129,,
2025-10-15T02:30:38,,Authentication,Successful Login,INFO,192.168.1.42,10.0.0.1,53,svc_backup,WS-131,ALLOWED,7016,,
2025-10-15T02:30:46,ALT-1080,Authentication,Failed Login,WARNING,192.168.1.40,192.168.1.11,53,admin,WS-141,ALLOWED,47894,Yes,Known svc account activity
2025-10-15T02:31:04,,Authentication,Successful Login,INFO,103.21.244.0,192.168.1.23,8080,asha.s,EXT-HOST,ALLOWED,19946,,
2025-10-15T02:39:05,,Authentication,Successful Login,INFO,192.168.1.39,192.168.1.23,8080,asha.s,WS-144,ALLOWED,25264,,
2025-10-15T02:39:32,ALT-1079,Network,Port Scan Detected,HIGH,45.33.32.156,192.168.1.16,131,svc_backup,EXT-HOST,ALLOWED,4048,No,Requires investigation
2025-10-15T02:40:34,,Authentication,Successful Login,INFO,192.168.1.15,192.168.1.18,8080,bkumar,WS-124,ALLOWED,20853,,
2025-10-15T02:46:01,,Authentication,Successful Login,INFO,192.168.1.47,10.0.0.254,8080,asha.s,WS-149,ALLOWED,19864,,
2025-10-15T02:52:16,,Network,HTTP Request,INFO,192.168.1.26,192.168.1.16,80,asha.s,WS-140,ALLOWED,19945,,
2025-10-15T02:52:37,,Network,HTTP Request,INFO,192.168.1.42,192.168.1.16,80,bkumar,WS-137,ALLOWED,41669,,
2025-10-15T02:55:18,,Authentication,Successful Login,INFO,192.168.1.53,10.0.0.2,80,root,WS-111,ALLOWED,35309,,
2025-10-15T02:56:06,ALT-1091,Network,C2 Communication Attempt,CRITICAL,45.33.32.156,192.168.1.11,8080,david.lee,EXT-HOST,BLOCKED,31295,No,Requires investigation
2025-10-15T02:56:32,,Network,DNS Query,INFO,192.168.1.41,192.168.1.20,53,asha.s,WS-103,ALLOWED,408,,
2025-10-15T02:57:21,,Network,HTTPS Request,INFO,192.168.1.20,192.168.1.17,443,bkumar,WS-100,ALLOWED,26872,,
2025-10-15T02:58:16,ALT-1048,Network,Port Scan Detected,HIGH,103.21.244.0,192.168.1.13,203,jsmith,EXT-HOST,ALLOWED,46938,No,Requires investigation
2025-10-15T03:00:03,,Network,DNS Query,INFO,192.168.1.50,192.168.1.27,53,root,WS-105,ALLOWED,20410,,
2025-10-15T03:07:01,,Network,DNS Query,INFO,192.168.1.43,192.168.1.21,53,arogers,WS-130,ALLOWED,2953,,
2025-10-15T03:09:22,,Authentication,Successful Login,INFO,192.168.1.16,192.168.1.14,22,arogers,WS-127,ALLOWED,20711,,
2025-10-15T03:11:25,,Authentication,Successful Login,INFO,192.168.1.28,10.0.0.2,443,asha.s,WS-106,ALLOWED,1786,,
2025-10-15T03:14:25,ALT-1152,Firewall,Connection Blocked,WARNING,192.168.1.17,192.168.1.28,80,asha.s,WS-104,BLOCKED,47519,No,
2025-10-15T03:16:53,,Network,HTTP Request,INFO,192.168.1.28,192.168.1.20,80,raj.m,WS-108,ALLOWED,35450,,
2025-10-15T03:17:26,ALT-1024,System,Registry Modification,WARNING,192.168.1.37,192.168.1.13,443,bkumar,WS-101,ALLOWED,3114,No,
2025-10-15T03:17:27,ALT-1143,Firewall,Connection Blocked,WARNING,192.168.1.28,192.168.1.10,53,david.lee,WS-113,BLOCKED,14606,No,
2025-10-15T03:19:13,,Authentication,Successful Login,INFO,192.168.1.55,192.168.1.13,80,jsmith,WS-108,ALLOWED,39007,,
2025-10-15T03:20:21,ALT-1047,System,Registry Modification,WARNING,192.168.1.24,192.168.1.24,3389,testuser,WS-115,ALLOWED,25407,No,
2025-10-15T03:23:16,,Authentication,Successful Login,INFO,192.168.1.28,192.168.1.17,22,david.lee,WS-142,ALLOWED,38212,,
